ID;Количество звезд;Дата;Достоинства;Недостатки;Комментарии;Лайки;Дизлайки
257412989;5;10 Сентября 2022;;;Товар куплен на OZON;0;0
255430099;5;6 Сентября 2022;;;Товар куплен на OZON;0;0
254845860;5;6 Сентября 2022;+ ;- ;;0;0
254009736;5;4 Сентября 2022;;;Товар куплен на OZON;0;0
253741142;2;4 Сентября 2022;Цена  ;Коробка порвана, скоровода маленькая погнута, видимо из-за транспортировки, жаль не проверил сразу, проверил только стеклянные крышки они оказались целые, но так как набор был куплен на подарок остался неприятный осадок.  ;;0;0
252813707;4;2 Сентября 2022;тяжелая, ручки антинагрев, индукция ;;;1;0
247015354;5;22 Августа 2022;;;Товар куплен на OZON;0;0
245069856;5;19 Августа 2022;;;Товар куплен на OZON;0;0
244506156;5;17 Августа 2022;;;"Товар куплен на OZON
Недостатки
Нет 
Комментарий
Очень нравится мне это посуда. Рекомендую  ";0;0
244339343;5;17 Августа 2022;;;Товар куплен на OZON;0;0
243244103;5;15 Августа 2022;;;Товар куплен на OZON;0;0
242747059;5;14 Августа 2022;Качество ;нет ;;0;0
242705731;5;14 Августа 2022;;;Товар куплен на OZON;0;0
242692835;5;14 Августа 2022;Не пригорает  ;"Как было в инструкции не сыпали соль пока вода не кипит, но точки все равно появились  
00:11";;0;0
242681313;5;14 Августа 2022;;;Товар куплен на OZON;0;0
242637412;5;14 Августа 2022;отличная посуда, удобная, с индукцией работает на отлично. очень качественная посуда ;нет ;;0;0
242594020;5;14 Августа 2022;Красивый внешний вид. Известный бренд. Безопасные материалы.  ;Появляются пятна и разводы на кастрюлях после первого же применения.  ;;0;0
242572670;5;14 Августа 2022;Долговечная посуда, красивая.  ;Именно у этого набора пока не обнаружено.  ;;0;0
242563010;5;14 Августа 2022;На первый взгляд все прекрасно, дизайн, функционал, качество  ;Ещё не пользовалась, не выявлены ;;1;0
242494415;5;14 Августа 2022;Все сделано идеально. Ничего не болтается,все как надо. Отлично! ;Не нашел. ;;0;0
242395283;5;13 Августа 2022;;;Товар куплен на OZON;0;0
242311861;5;13 Августа 2022;Хорошего качества посуда. Хороший набор.  ;Нет ;;0;0
242166590;5;13 Августа 2022;Легкие сковородки, удобные ручки у крышек. Подходят для элекрических варочных панелей. ;"после воды немного потемнели кастрюльки 
00:21";;1;0
242131774;5;13 Августа 2022;;;"Товар куплен на OZON
Отличный набор! Все самое необходимое в одном комплекте. Очень красивый, и удобный. Посуда качественная. Довольна покупкой  ";0;0
241565903;5;11 Августа 2022;;;Товар куплен на OZON;0;0
240258807;5;9 Августа 2022;;;Товар куплен на OZON;0;0
239255596;5;7 Августа 2022;;;Товар куплен на OZON;0;0
239169369;5;7 Августа 2022;качесвенный ;нету ;;0;0
238977470;5;6 Августа 2022;;;Товар куплен на OZON;0;0
236255399;5;31 Июля 2022;отличный набор за свои деньги. очень здорово что крышки от кастрюль подходят к сковородкам. удачные размеры. на индукционной плите все работает.  ;не выявлено ;;3;0
235856576;5;30 Июля 2022;Отличное качество.  ;Нет ;;3;0
235578532;5;29 Июля 2022;Посуда великолепного качества ;Нет ;;0;0
234453513;5;27 Июля 2022;Качественный металл, хорошая цена (по сравнению с другими похожими наборами). Прекрасные ручки, не греются, можно спокойно брать за них. Внутри кастрюль также есть отметки объёма, что очень удобно. Сковородки после готовки очень быстро отмываются от жира. ;Первое время после распаковки воняли пластиком, но со временем этот запах исчез. ;;5;0
234104062;5;26 Июля 2022;;;"Товар куплен на OZON
хороший набор посуды, рекомендую ";0;0
233989818;5;26 Июля 2022;Качество товара отличное. И не дорого. Фирма как никак.  ;;;1;0
233966882;5;26 Июля 2022;прекрасная качественная посуда. удобный набор для новой кухни. Работает на индукционной плите. Ничего не пригорает. Осталось докупить ковшик на небольшой объем  ;;;3;0
233378040;5;25 Июля 2022;Неплохое качество кастрюль и сковородок.  ;Из за ручек, плохо влезает в холрдильник. ;;1;0
233116176;4;25 Июля 2022;отлична работает на индукции ;сковороды немного выпуклые ;;0;0
232024196;5;22 Июля 2022;;;Товар куплен на OZON;0;0
230813640;5;19 Июля 2022;;;Товар куплен на OZON;0;0
230682151;5;19 Июля 2022;Набор просто супер! Качественная тяжелая сталь, удобные ручки. ;не обнаружено ;;3;0
230601277;4;19 Июля 2022;"Хороший качественный товар.

 ";нет ;;0;1
230109590;5;18 Июля 2022;отличный набор ;нет ;;0;0
229220776;5;16 Июля 2022;;;Товар куплен на OZON;0;1
229119129;5;15 Июля 2022;;;Товар куплен на OZON;0;2
227767615;5;12 Июля 2022;;;Товар куплен на OZON;0;2
226130316;5;9 Июля 2022;Хороший набор !)  ;;;0;4
224891462;5;6 Июля 2022;цена, качество, бренд  ;нет  ;;11;1
ID;Количество звезд;Дата;Достоинства;Недостатки;Комментарии;Лайки;Дизлайки
257412989;5;10 Сентября 2022;;;Товар куплен на OZON;0;0
255430099;5;6 Сентября 2022;;;Товар куплен на OZON;0;0
254845860;5;6 Сентября 2022;+ ;- ;;0;0
254009736;5;4 Сентября 2022;;;Товар куплен на OZON;0;0
253741142;2;4 Сентября 2022;Цена  ;Коробка порвана, скоровода маленькая погнута, видимо из-за транспортировки, жаль не проверил сразу, проверил только стеклянные крышки они оказались целые, но так как набор был куплен на подарок остался неприятный осадок.  ;;0;0
252813707;4;2 Сентября 2022;тяжелая, ручки антинагрев, индукция ;;;1;0
247015354;5;22 Августа 2022;;;Товар куплен на OZON;0;0
245069856;5;19 Августа 2022;;;Товар куплен на OZON;0;0
244506156;5;17 Августа 2022;;;"Товар куплен на OZON
Недостатки
Нет 
Комментарий
Очень нравится мне это посуда. Рекомендую  ";0;0
244339343;5;17 Августа 2022;;;Товар куплен на OZON;0;0
243244103;5;15 Августа 2022;;;Товар куплен на OZON;0;0
242747059;5;14 Августа 2022;Качество ;нет ;;0;0
242705731;5;14 Августа 2022;;;Товар куплен на OZON;0;0
242692835;5;14 Августа 2022;Не пригорает  ;"Как было в инструкции не сыпали соль пока вода не кипит, но точки все равно появились  
00:11";;0;0
242681313;5;14 Августа 2022;;;Товар куплен на OZON;0;0
242637412;5;14 Августа 2022;отличная посуда, удобная, с индукцией работает на отлично. очень качественная посуда ;нет ;;0;0
242594020;5;14 Августа 2022;Красивый внешний вид. Известный бренд. Безопасные материалы.  ;Появляются пятна и разводы на кастрюлях после первого же применения.  ;;0;0
242572670;5;14 Августа 2022;Долговечная посуда, красивая.  ;Именно у этого набора пока не обнаружено.  ;;0;0
242563010;5;14 Августа 2022;На первый взгляд все прекрасно, дизайн, функционал, качество  ;Ещё не пользовалась, не выявлены ;;1;0
242494415;5;14 Августа 2022;Все сделано идеально. Ничего не болтается,все как надо. Отлично! ;Не нашел. ;;0;0
242395283;5;13 Августа 2022;;;Товар куплен на OZON;0;0
242311861;5;13 Августа 2022;Хорошего качества посуда. Хороший набор.  ;Нет ;;0;0
242166590;5;13 Августа 2022;Легкие сковородки, удобные ручки у крышек. Подходят для элекрических варочных панелей. ;"после воды немного потемнели кастрюльки 
00:21";;1;0
242131774;5;13 Августа 2022;;;"Товар куплен на OZON
Отличный набор! Все самое необходимое в одном комплекте. Очень красивый, и удобный. Посуда качественная. Довольна покупкой  ";0;0
241565903;5;11 Августа 2022;;;Товар куплен на OZON;0;0
240258807;5;9 Августа 2022;;;Товар куплен на OZON;0;0
239255596;5;7 Августа 2022;;;Товар куплен на OZON;0;0
239169369;5;7 Августа 2022;качесвенный ;нету ;;0;0
238977470;5;6 Августа 2022;;;Товар куплен на OZON;0;0
236255399;5;31 Июля 2022;отличный набор за свои деньги. очень здорово что крышки от кастрюль подходят к сковородкам. удачные размеры. на индукционной плите все работает.  ;не выявлено ;;3;0
235856576;5;30 Июля 2022;Отличное качество.  ;Нет ;;3;0
235578532;5;29 Июля 2022;Посуда великолепного качества ;Нет ;;0;0
234453513;5;27 Июля 2022;Качественный металл, хорошая цена (по сравнению с другими похожими наборами). Прекрасные ручки, не греются, можно спокойно брать за них. Внутри кастрюль также есть отметки объёма, что очень удобно. Сковородки после готовки очень быстро отмываются от жира. ;Первое время после распаковки воняли пластиком, но со временем этот запах исчез. ;;5;0
234104062;5;26 Июля 2022;;;"Товар куплен на OZON
хороший набор посуды, рекомендую ";0;0
233989818;5;26 Июля 2022;Качество товара отличное. И не дорого. Фирма как никак.  ;;;1;0
233966882;5;26 Июля 2022;прекрасная качественная посуда. удобный набор для новой кухни. Работает на индукционной плите. Ничего не пригорает. Осталось докупить ковшик на небольшой объем  ;;;3;0
233378040;5;25 Июля 2022;Неплохое качество кастрюль и сковородок.  ;Из за ручек, плохо влезает в холрдильник. ;;1;0
233116176;4;25 Июля 2022;отлична работает на индукции ;сковороды немного выпуклые ;;0;0
232024196;5;22 Июля 2022;;;Товар куплен на OZON;0;0
230813640;5;19 Июля 2022;;;Товар куплен на OZON;0;0
230682151;5;19 Июля 2022;Набор просто супер! Качественная тяжелая сталь, удобные ручки. ;не обнаружено ;;3;0
230601277;4;19 Июля 2022;"Хороший качественный товар.

 ";нет ;;0;1
230109590;5;18 Июля 2022;отличный набор ;нет ;;0;0
229220776;5;16 Июля 2022;;;Товар куплен на OZON;0;1
229119129;5;15 Июля 2022;;;Товар куплен на OZON;0;2
227767615;5;12 Июля 2022;;;Товар куплен на OZON;0;2
226130316;5;9 Июля 2022;Хороший набор !)  ;;;0;4
224891462;5;6 Июля 2022;цена, качество, бренд  ;нет  ;;11;1
